Range	Never Married	Married	Divorced	Separated	Widowed
15-19	99.10	0.8	0	0.1	0
20-34	67.9	27.6	3.1	1.2	0.1
35-44	24.3	61.4	11.1	2.7	0.4
45-54	16.4	63.9	15.8	2.8	1.1
55-64	10.7	68.2	16.4	2.3	2.5
65+	5	70.4	11	1.4	12.2
